id,cover,genres,name,platforms,summary,url,first_release_date,involved_companies
350392,"{'id': 467132, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/coa0fw.jpg'}","[{'id': 5, 'name': 'Shooter'}]",Rival Species,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","In the far distant future of the 40th millennium behind the stars there is only war. Enter the universe of WARHAMMER 40,000 and play a mighty warrior for one out of an ever growing list of rival species. A large PvP team multiplayer mod for Half-Life that plays similary to Battlefield/Battlefront, based on the Game's Workshop property. Eventually Exterminatus, A sequel for the Source Engine would be made",https://www.igdb.com/games/rival-species,,
119985,"{'id': 278803, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co5z4j.jpg'}","[{'id': 13, 'name': 'Simulator'}, {'id': 31, 'name': 'Adventure'}, {'id': 32, 'name': 'Indie'}, {'id': 34, 'name': 'Visual Novel'}]",Welcome to... Chichester 2: Part II - No Regrets For the Future,"[{'id': 3, 'name': 'Linux'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 14, 'name': 'Mac'}]","Taking place on the second day of your holiday, you start reminiscing with Grendel Jinx about how you two first met. Inevitably, the discussion turns to a dark period in both your lives when tragedy and revenge nearly destroy your ""friendship"" with each other.",https://www.igdb.com/games/welcome-to-dot-dot-dot-chichester-2-part-ii-no-regrets-for-the-future,1592956800.0,"[{'id': 119707, 'company': {'id': 28632, 'name': 'Triority Interactive Novels'}}]"
339266,"{'id': 458426, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co9tq2.jpg'}",,Power Guy World,"[{'id': 19, 'name': 'Super Nintendo Entertainment System'}]","Power Guy World is a 30 exit SMW romhack created by LucasMegaStriker as a tribute to the Vtuber ""Power Guy"".",https://www.igdb.com/games/power-guy-world,1692057600.0,
204348,"{'id': 390286, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co8d5a.jpg'}","[{'id': 13, 'name': 'Simulator'}, {'id': 14, 'name': 'Sport'}, {'id': 32, 'name': 'Indie'}]",What the Bat?,"[{'id': 386, 'name': 'Meta Quest 2'}, {'id': 390, 'name': 'PlayStation VR2'}, {'id': 163, 'name': 'SteamVR'}, {'id': 384, 'name': 'Oculus Quest'}]","You have baseball bats for hands - now go! In this surprising VR comedy, you play through a series of silly physical mini-games that make you laugh, cry and even pet nice animals.",https://www.igdb.com/games/what-the-bat,1668643200.0,"[{'id': 345556, 'company': {'id': 16312, 'name': 'Triband'}}]"
63844,"{'id': 120345, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co2kux.jpg'}","[{'id': 14, 'name': 'Sport'}]",Ace wo Nerae!,"[{'id': 58, 'name': 'Super Famicom'}]",A tennis game for the Super Famicom based on the 1970s manga and anime of the same name.,https://www.igdb.com/games/ace-wo-nerae,756518400.0,"[{'id': 113526, 'company': {'id': 30131, 'name': 'Nippon Telenet'}}]"
371149,,,The Deal,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]",A Doom II WAD.,https://www.igdb.com/games/the-deal--2,,"[{'id': 350888, 'company': {'id': 69764, 'name': 'DualFanGames'}}]"
330684,"{'id': 437074, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co9d8y.jpg'}","[{'id': 10, 'name': 'Racing'}, {'id': 33, 'name': 'Arcade'}]",Nightmare Kart: The Old Karts,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","An upcoming free expansion to Nightmare Kart with a brand new mini-campaign, racers, karts, tracks, power-ups, and game modes.",https://www.igdb.com/games/nightmare-kart-the-old-karts,,"[{'id': 306710, 'company': {'id': 34952, 'name': 'LWMedia'}}]"
278175,"{'id': 375589, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co81t1.jpg'}","[{'id': 32, 'name': 'Indie'}]",100 Kills Challenge,"[{'id': 6, 'name': 'PC (Microsoft Windows)'}]","""100 Kills Challenge"" is an intense and fast-paced first-person tactical shooting game. The only goal in the game is to kill 100 enemies as much as possible within the specified time to win.",https://www.igdb.com/games/100-kills-challenge,1713139200.0,
233359,"{'id': 284263, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co63c7.jpg'}","[{'id': 8, 'name': 'Platform'}, {'id': 31, 'name': 'Adventure'}, {'id': 33, 'name': 'Arcade'}]",Montezuma's Revenge,"[{'id': 34, 'name': 'Android'}, {'id': 6, 'name': 'PC (Microsoft Windows)'}, {'id': 39, 'name': 'iOS'}, {'id': 14, 'name': 'Mac'}]","This is the official version of the 80's classic game Montezuma's Revenge rebooted by the original developer. It's the classic puzzle solving action adventure platformer you loved in your youth.

Unlike the switch port, this port adds a ""Modern Mode"" visuals.",https://www.igdb.com/games/montezumas-revenge--2,1334102400.0,"[{'id': 244078, 'company': {'id': 1740, 'name': 'Parker Brothers'}}, {'id': 274754, 'company': {'id': 31739, 'name': 'Normal Distribution LLC'}}, {'id': 274755, 'company': {'id': 31739, 'name': 'Normal Distribution LLC'}}]"
120563,"{'id': 82440, 'url': '//images.igdb.com/igdb/image/upload/t_thumb/co1rm0.jpg'}","[{'id': 9, 'name': 'Puzzle'}, {'id': 32, 'name': 'Indie'}]",Yokai Dungeon,"[{'id': 34, 'name': 'Android'}, {'id': 39, 'name': 'iOS'}]","Yokai have just interrupted the lantern festival, it's up to Tanuki and his friends to save the day. Push blocks to crush the pesky yokai, explore randomly generated dungeons, and dive into beatiful Japanese folklore.",https://www.igdb.com/games/yokai-dungeon,1565222400.0,"[{'id': 81662, 'company': {'id': 15274, 'name': 'Neutronized'}}]"
