id,cover,created_at,game_engines,game_modes,genres,keywords,name,parent_game,platforms,player_perspectives,release_dates,screenshots,slug,summary,themes,updated_at,url,websites,checksum,game_type,alternative_names,artworks,external_games,first_release_date,involved_companies,similar_games,storyline,tags,videos,language_supports,collections,age_ratings,aggregated_rating,aggregated_rating_count,hypes,total_rating,total_rating_count,franchises,rating,rating_count,game_localizations,status,game_status,bundles,dlcs,ports,multiplayer_modes,expanded_games,version_parent,version_title,remakes,expansions,remasters,standalone_expansions,franchise,category
350392,467132.0,1750343734,[4],[2],[5],"[546, 1035, 2004, 45434]",Rival Species,231.0,[6],[1],[758314],"[1568557, 1568558, 1568559, 1568560, 1568561, 1568562, 1568563, 1568564, 1568565, 1568566, 1568567, 1568568, 1568569, 1568570, 1568571, 1568572, 1568573, 1568574, 1568575, 1568576]",rival-species,"In the far distant future of the 40th millennium behind the stars there is only war. Enter the universe of WARHAMMER 40,000 and play a mighty warrior for one out of an ever growing list of rival species. A large PvP team multiplayer mod for Half-Life that plays similary to Battlefield/Battlefront, based on the Game's Workshop property. Eventually Exterminatus, A sequel for the Source Engine would be made","[1, 18]",1756997209,https://www.igdb.com/games/rival-species,[819474],8d54001d-e4b0-3632-7e14-7e2134d3bf7d,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119985,278803.0,1561301299,,[1],"[13, 31, 32, 34]",,Welcome to... Chichester 2: Part II - No Regrets For the Future,,"[3, 6, 14]",[5],"[668873, 668874, 668875, 668876, 668877, 668878]","[423488, 423489, 315962, 315963, 315964, 315967, 315966, 315965]",welcome-to-dot-dot-dot-chichester-2-part-ii-no-regrets-for-the-future,"Taking place on the second day of your holiday, you start reminiscing with Grendel Jinx about how you two first met. Inevitably, the discussion turns to a dark period in both your lives when tragedy and revenge nearly destroy your ""friendship"" with each other.","[27, 31]",1762419038,https://www.igdb.com/games/welcome-to-dot-dot-dot-chichester-2-part-ii-no-regrets-for-the-future,"[170770, 890818, 890819, 890820, 890821, 389216]",78e1117b-7a98-c874-61fa-a9fd600b9646,0,[190431],[34327],"[2163490, 1776138, 1914757, 1725575]",1592956800.0,[119707],"[29348, 87975, 79134, 109339, 105011, 25311, 35994, 105196, 75948, 26574]","Taking place on the second day of the protagonist's holiday, who wakes up with a nasty headache, which is not helped by the presence of the protagonist's ""nemesis"" - the megalomaniacal, kleptomaniac and cake mix loving Grendel Jinx. Whilst waiting for breakfast to be served, talk to turns to how you both met and eventually the conversation veers into a period where your budding ""friendship"" was nearly permanently severed.

Suffering a string of defeats by Grendel, following by an unauthorised beating by her bodyguards, the protagonist's time is spent in the local hospital wondering what went wrong. Eventually coming to a very undesirable conclusion, the protagonist's secretary is tasked with finding out whether the protagonists' supposition is correct or not.

Meanwhile, Grendel gets news that her bodyguards have been killed, and with all evidence pointing to the protagonist, she sets out for revenge.","[27, 31, 268435469, 268435487, 268435488, 268435490]",[64141],"[576594, 576595]",[6787],,,,,,,,,,,,,,,,,,,,,,,,,
339266,458426.0,1744156285,,,,,Power Guy World,1070.0,[19],,[725760],[1502016],power-guy-world,"Power Guy World is a 30 exit SMW romhack created by LucasMegaStriker as a tribute to the Vtuber ""Power Guy"".",,1758827632,https://www.igdb.com/games/power-guy-world,[725773],7337cf10-f9c7-98f1-e022-033669a72f99,5,,,,1692057600.0,,,"Power Guy is a video game character, who together with his dog Merf, live in a small computer, playing games all day. But then, an evil group of hackers broke into their home and kidnapped Merf! Now it's up to Power Guy to save his best friend by getting into the world of the internet!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204348,390286.0,1654789134,,[1],"[13, 14, 32]","[287, 2760]",What the Bat?,,"[386, 390, 163, 384]",[7],"[426856, 426855, 430498, 456359]","[809760, 809759, 809761, 809762, 809763, 809764]",what-the-bat,"You have baseball bats for hands - now go! In this surprising VR comedy, you play through a series of silly physical mini-games that make you laugh, cry and even pet nice animals.",[27],1762422304,https://www.igdb.com/games/what-the-bat,"[868467, 328001, 288827, 358717, 493834]",53fc5e91-9dd4-d09e-2814-e3b914544380,0,"[91295, 185336]",[79474],"[2447495, 2669561, 2669769, 2677981, 2630070, 2514797]",1668643200.0,[345556],"[65827, 91967, 55590, 31515, 36269, 29348, 17130, 18623, 37419, 23345]","A wise man once said: If all you have are bats for hands, everything feels like a baseball.","[27, 268435469, 268435470, 268435488, 536871199, 536873672]","[69508, 85159, 105797]","[469318, 469335, 469322, 469326, 469323, 469320, 469317, 469327, 469325, 469319, 469324, 469321, 469328, 469329, 469330, 469331, 469332, 469333, 469334]",[12728],[105017],72.5,2.0,1.0,72.5,2.0,,,,,,,,,,,,,,,,,,,
63844,120345.0,1505125971,,"[1, 2, 4]",[14],"[78, 311, 4141, 25265, 29745, 48291]",Ace wo Nerae!,,[58],[2],[527779],"[409289, 409288, 409287]",ace-wo-nerae,A tennis game for the Super Famicom based on the 1970s manga and anime of the same name.,[1],1748464541,https://www.igdb.com/games/ace-wo-nerae,"[373934, 161465]",11961169-8baf-81f6-6504-e92cc19d497c,0,"[52401, 118236]",,"[1898974, 119203]",756518400.0,[113526],"[57372, 57296, 72812, 61127, 24426, 28010, 118871, 61985, 15851, 77688]",,"[1, 268435470, 536870990, 536871223, 536875053, 536896177, 536900657, 536919203]",[43074],[685891],[6626],,,,,52.90462943179914,5.0,[2330],52.90462943179914,5.0,[2159],,,,,,,,,,,,,,,
371149,,1759310586,,,,,The Deal,312.0,[6],,[814362],[1656000],the-deal--2,A Doom II WAD.,,1759347838,https://www.igdb.com/games/the-deal--2,[884857],6202d6ee-7979-8aa9-3003-50f6c16c2334,5,,,,,[350888],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330684,437074.0,1738949769,[439],"[1, 2, 4]","[10, 33]",,Nightmare Kart: The Old Karts,295664.0,[6],[2],[700729],"[1459201, 1459202, 1459205, 1459203, 1459204]",nightmare-kart-the-old-karts,"An upcoming free expansion to Nightmare Kart with a brand new mini-campaign, racers, karts, tracks, power-ups, and game modes.",[1],1756993380,https://www.igdb.com/games/nightmare-kart-the-old-karts,,04e6e8ff-7955-d3e4-57c5-ae041438a275,14,,,,,[306710],,,,[139717],,,,,,,,,,,,,,,,,,,,,,,,,,,
278175,375589.0,1701064785,,"[1, 2]",[32],,100 Kills Challenge,,[6],,[643256],"[1197960, 1197947, 1197949, 1197952, 1197955, 1197958, 1197964, 1197966, 1197967, 1197962, 1197968, 1197969, 1197970, 1197971, 1197972, 1197973, 1197974, 1197975, 1197976, 1197977, 1197978, 1197979, 1197980, 1197981, 1197982, 1197983, 1197984, 1197985]",100-kills-challenge,"""100 Kills Challenge"" is an intense and fast-paced first-person tactical shooting game. The only goal in the game is to kill 100 enemies as much as possible within the specified time to win.",[1],1762581210,https://www.igdb.com/games/100-kills-challenge,[599450],2e0b2548-8ad1-616f-a7b5-617ccd74e7f0,0,,[123731],"[2865682, 2866074]",1713139200.0,,"[113895, 105233, 111130, 32902, 119121, 40524, 96217, 106987, 37419, 28309]",,"[1, 268435488]",,"[853279, 853280, 853281, 853282, 853283, 956867, 956868, 957056, 957057, 957058, 957059, 957060, 957061, 957062, 957063, 957064, 957065]",,,,,,,,,,,,,,,,,,,,,,,,,,
233359,284263.0,1674633705,,[1],"[8, 31, 33]",,Montezuma's Revenge,12297.0,"[34, 6, 39, 14]",[4],"[614042, 614043, 614044, 614045]","[1231633, 1231635, 1231636, 1231637, 1231638, 1231634]",montezumas-revenge--2,"This is the official version of the 80's classic game Montezuma's Revenge rebooted by the original developer. It's the classic puzzle solving action adventure platformer you loved in your youth.

Unlike the switch port, this port adds a ""Modern Mode"" visuals.",[1],1762581203,https://www.igdb.com/games/montezumas-revenge--2,"[651682, 612348, 530906, 612347, 651681, 651683]",5bc6c6d1-69e2-fc2c-2b8d-9e47e22da21f,11,,"[127424, 97428]","[2042668, 2865839]",1334102400.0,"[244078, 274754, 274755]","[56033, 117311, 87622, 51485, 110503, 20342, 55173, 111130, 81183, 24426]",,"[1, 268435464, 268435487, 268435489]","[106559, 118376]","[513358, 513355, 513362, 513361, 513363, 513364, 513365, 513356, 513357, 513359, 513360]",,,,,,,,,,,,,,,,,,,,,,,,,,
120563,82440.0,1562804097,,[1],"[9, 32]","[416, 1910, 1982]",Yokai Dungeon,,"[34, 39]",[3],"[174007, 174006]",,yokai-dungeon,"Yokai have just interrupted the lantern festival, it's up to Tanuki and his friends to save the day. Push blocks to crush the pesky yokai, explore randomly generated dungeons, and dive into beatiful Japanese folklore.","[1, 17]",1670994026,https://www.igdb.com/games/yokai-dungeon,"[112848, 112849, 449617]",9a36f5bc-40ef-fd32-c19a-d98b988760e3,0,,,[1994050],1565222400.0,[81662],"[96217, 24426, 28070, 106987, 25646, 113360, 113895, 110503, 36198, 20342]",,"[1, 17, 268435465, 268435488, 536871328, 536872822, 536872894]","[28663, 29259]",,,,,,,,,,,,,,,,,,,,,,,,,,,
